question_id,statement,mapped_human_label,models_matching_human_label_but_uncompilable,supporting_model_count,lean4_failure_statuses
11,"A defiant generalist in an era of increasingly specialised study , and a mischievous provocateur , Lovelock is regarded by many as a scientific genius .",ad populum,gemini-pro-non,1,lean_pass_with_type_error
22,"And since the biggest risk to humanity is poverty , if we allow policymakers to have their way , the resulting energy poverty will indeed cause the deaths of some of our children and grandchildren .",appeal to emotion,gemini-pro-non,1,lean_pass_with_type_error
23,” Britain ’ s most high-profile environmental group claimed “ Climate Change Kills Children . ”,appeal to emotion,gemini-pro-non,1,lean_pass_with_type_error
33,"Peatland fires in Indonesia in 1997 , for instance , added to the global CO2 release by up to 40 percent , and more burning only means more warming only means more burning .",circular reasoning,gemini-pro-thinking,1,lean_pass_with_type_error
39,"For some groups of close temperature measures ( and NASA and NOAA are dealing with thousands of very close temperatures ) , one method of calculating an average can lead to a determination of warming while another can lead to a conclusion of cooling .",equivocation,moonshotai/kimi-k2-thinking,1,no_pass
46,"No one and nothing would experience it directly since we all live in regions , not the globe .",equivocation,gemini-flash-thinking,1,lean_pass_with_type_error
48,"The liberal media might take issue with a U.S. think tank funding a study that says global warming does n't exist -- or at least has n't for 19 years -- but they 'll accept the findings from little ol ' Denmark , wo n't they ?",fallacy of credibility,gemini-flash-thinking,1,lean_pass_with_type_error
59,Shorten refuses to tell us how he will spend our money or to give any detail on energy ­systems that are proven failures .,fallacy of extension,openai/gpt-5,1,lean_pass_with_type_error
60,"The record comes two days before Donald Trump , who has tweeted that global warming is a “ hoax , ” assumes the presidency and , with it , control over the two science agencies that announced these records .",fallacy of extension,qwen_qwen3-235b-a22b-2507,1,lean_pass_with_type_error
63,He should know that climate always changes and that the planet would be in serious trouble if it did not .,faulty generalization,moonshotai/kimi-k2-thinking,1,no_pass
64,"The U.S. government is at it again , hyping meaningless records in a parameter that does not exist in order to frighten us about something that doesn ’ t matter .",fallacy of extension,deepseek/deepseek-r1,1,no_pass
