question_id,statement,human_labels,alternative_label,jaccard_distance,consensus_status,filter_reason,models_supporting_alternative_label,supporting_model_count
2,"Unfortunately for the doom-mongers , we sceptics have just received some heavy fire-support from a neutral authority .",ad hominem,appeal to emotion,0.6241666603833437,filtered_out_high_disagreement,Standard_Jaccard_Distance > 0.5566,deepseek/deepseek-chat-v3.1; deepseek/deepseek-r1; gemini-flash-thinking; gemini-pro-non; gemini-pro-thinking; openai/gpt-4o-2024-11-20; openai/gpt-5; openai/gpt-oss-120b; qwen/qwen3-235b-a22b-thinking-2507; x-ai/grok-4-fast-thinking; x-ai_grok-4-fast,11
2,"Unfortunately for the doom-mongers , we sceptics have just received some heavy fire-support from a neutral authority .",ad hominem,fallacy of credibility,0.6241666603833437,filtered_out_high_disagreement,Standard_Jaccard_Distance > 0.5566,anthropic/claude-sonnet-4.5; deepseek/deepseek-chat-v3.1; gemini-flash-thinking; gemini-pro-thinking; qwen_qwen3-235b-a22b-2507; x-ai_grok-4-fast,6
3,"For good reason : In the U.S. , and for much of the world , the most dangerous environmental pollutants have been cleaned up . U.S. emissions of particulates , metals and varied gases—all of these : ozone , lead , carbon monoxide , oxides of nitrogen and sulfur—fell almost 70 % between 1970 and 2014 .",ad hominem,faulty generalization,0.5576388853291671,filtered_out_high_disagreement,Standard_Jaccard_Distance > 0.5566,anthropic/claude-sonnet-4.5; deepseek/deepseek-chat-v3.1; deepseek/deepseek-r1; gemini-flash-non; gemini-flash-thinking; gemini-pro-non; gemini-pro-thinking; moonshotai/kimi-k2-thinking; openai/gpt-4o-2024-11-20; openai/gpt-5; openai/gpt-oss-120b; qwen/qwen3-235b-a22b-thinking-2507; qwen_qwen3-235b-a22b-2507; x-ai/grok-4-fast-thinking; x-ai_grok-4-fast,15
3,"For good reason : In the U.S. , and for much of the world , the most dangerous environmental pollutants have been cleaned up . U.S. emissions of particulates , metals and varied gases—all of these : ozone , lead , carbon monoxide , oxides of nitrogen and sulfur—fell almost 70 % between 1970 and 2014 .",ad hominem,false causality,0.5576388853291671,filtered_out_high_disagreement,Standard_Jaccard_Distance > 0.5566,deepseek/deepseek-chat-v3.1; deepseek/deepseek-r1; openai/gpt-4o-2024-11-20; qwen_qwen3-235b-a22b-2507; x-ai_grok-4-fast,5
8,"“ The Caitlin Expedition – supported by the Prince of Wales – in which Pen Haddow and his team had to abandon their trip to the North Pole because it was colder than they ’ d expected , ” he continued .",ad hominem,fallacy of relevance,0.7916666641831398,filtered_out_high_disagreement,Standard_Jaccard_Distance > 0.5566,anthropic/claude-sonnet-4.5; gemini-flash-non; gemini-pro-non; moonshotai/kimi-k2-thinking; openai/gpt-5; openai/gpt-oss-120b; qwen/qwen3-235b-a22b-thinking-2507; x-ai_grok-4-fast,8
8,"“ The Caitlin Expedition – supported by the Prince of Wales – in which Pen Haddow and his team had to abandon their trip to the North Pole because it was colder than they ’ d expected , ” he continued .",ad hominem,false causality,0.7916666641831398,filtered_out_high_disagreement,Standard_Jaccard_Distance > 0.5566,deepseek/deepseek-chat-v3.1; moonshotai/kimi-k2-thinking; openai/gpt-4o-2024-11-20; openai/gpt-5; openai/gpt-oss-120b; x-ai_grok-4-fast,6
8,"“ The Caitlin Expedition – supported by the Prince of Wales – in which Pen Haddow and his team had to abandon their trip to the North Pole because it was colder than they ’ d expected , ” he continued .",ad hominem,faulty generalization,0.7916666641831398,filtered_out_high_disagreement,Standard_Jaccard_Distance > 0.5566,gemini-pro-non; gemini-pro-thinking; openai/gpt-4o-2024-11-20; openai/gpt-5; x-ai_grok-4-fast,5
12,"Nor is there evidence of an increase in floods globally . Since 1965 , more parts of the U.S. have seen a decrease in flooding than have seen an increase . And from 1940 to today , flood damage as a percentage of GDP has fallen to less than 0.05 per cent per year from about 0.2 per cent .",ad populum,faulty generalization,0.5881944385667642,filtered_out_high_disagreement,Standard_Jaccard_Distance > 0.5566,anthropic/claude-sonnet-4.5; deepseek/deepseek-r1; gemini-flash-non; gemini-flash-thinking; gemini-pro-non; gemini-pro-thinking; moonshotai/kimi-k2-thinking; openai/gpt-4o-2024-11-20; openai/gpt-5; openai/gpt-oss-120b; qwen/qwen3-235b-a22b-thinking-2507; qwen_qwen3-235b-a22b-2507; x-ai/grok-4-fast-thinking; x-ai_grok-4-fast,14
12,"Nor is there evidence of an increase in floods globally . Since 1965 , more parts of the U.S. have seen a decrease in flooding than have seen an increase . And from 1940 to today , flood damage as a percentage of GDP has fallen to less than 0.05 per cent per year from about 0.2 per cent .",ad populum,false causality,0.5881944385667642,filtered_out_high_disagreement,Standard_Jaccard_Distance > 0.5566,deepseek/deepseek-r1; moonshotai/kimi-k2-thinking; openai/gpt-4o-2024-11-20; openai/gpt-oss-120b; qwen/qwen3-235b-a22b-thinking-2507; qwen_qwen3-235b-a22b-2507; x-ai/grok-4-fast-thinking; x-ai_grok-4-fast,8
12,"Nor is there evidence of an increase in floods globally . Since 1965 , more parts of the U.S. have seen a decrease in flooding than have seen an increase . And from 1940 to today , flood damage as a percentage of GDP has fallen to less than 0.05 per cent per year from about 0.2 per cent .",ad populum,fallacy of relevance,0.5881944385667642,filtered_out_high_disagreement,Standard_Jaccard_Distance > 0.5566,anthropic/claude-sonnet-4.5; gemini-flash-thinking; openai/gpt-5; x-ai/grok-4-fast-thinking; x-ai_grok-4-fast,5
13,"He says `` contrary to what your political leader , professor , and newspaper tell you , global warming is dominated by natural factors .",ad populum,fallacy of credibility,0.7420833305766185,filtered_out_high_disagreement,Standard_Jaccard_Distance > 0.5566,anthropic/claude-sonnet-4.5; deepseek/deepseek-chat-v3.1; deepseek/deepseek-r1; gemini-flash-non; gemini-flash-thinking; moonshotai/kimi-k2-thinking; openai/gpt-4o-2024-11-20; openai/gpt-oss-120b; qwen/qwen3-235b-a22b-thinking-2507; qwen_qwen3-235b-a22b-2507; x-ai/grok-4-fast-thinking,11
13,"He says `` contrary to what your political leader , professor , and newspaper tell you , global warming is dominated by natural factors .",ad populum,false dilemma,0.7420833305766185,filtered_out_high_disagreement,Standard_Jaccard_Distance > 0.5566,gemini-pro-non; gemini-pro-thinking; moonshotai/kimi-k2-thinking; openai/gpt-4o-2024-11-20; openai/gpt-oss-120b,5
14,Calculations suggest it would need 40 % to 50 % of the arable land of the planet to make it work on the scale we will need and that would not leave enough land to grow crops to feed the world or to provide homes for a viable population of wild animals and plants .,ad populum,false dilemma,0.6630555506795645,filtered_out_high_disagreement,Standard_Jaccard_Distance > 0.5566,anthropic/claude-sonnet-4.5; deepseek/deepseek-chat-v3.1; deepseek/deepseek-r1; gemini-flash-non; gemini-flash-thinking; gemini-pro-non; gemini-pro-thinking; moonshotai/kimi-k2-thinking; openai/gpt-4o-2024-11-20; openai/gpt-oss-120b; qwen/qwen3-235b-a22b-thinking-2507; x-ai/grok-4-fast-thinking; x-ai_grok-4-fast,13
14,Calculations suggest it would need 40 % to 50 % of the arable land of the planet to make it work on the scale we will need and that would not leave enough land to grow crops to feed the world or to provide homes for a viable population of wild animals and plants .,ad populum,faulty generalization,0.6630555506795645,filtered_out_high_disagreement,Standard_Jaccard_Distance > 0.5566,anthropic/claude-sonnet-4.5; gemini-flash-thinking; openai/gpt-4o-2024-11-20; qwen/qwen3-235b-a22b-thinking-2507; qwen_qwen3-235b-a22b-2507; x-ai/grok-4-fast-thinking; x-ai_grok-4-fast,7
14,Calculations suggest it would need 40 % to 50 % of the arable land of the planet to make it work on the scale we will need and that would not leave enough land to grow crops to feed the world or to provide homes for a viable population of wild animals and plants .,ad populum,appeal to emotion,0.6630555506795645,filtered_out_high_disagreement,Standard_Jaccard_Distance > 0.5566,deepseek/deepseek-r1; gemini-pro-non; gemini-pro-thinking; qwen/qwen3-235b-a22b-thinking-2507; x-ai/grok-4-fast-thinking,5
15,"18 years after 1998 , global warming still has not created the runaway warming we were told to expect .",ad populum,faulty generalization,0.6294444392124812,filtered_out_high_disagreement,Standard_Jaccard_Distance > 0.5566,anthropic/claude-sonnet-4.5; deepseek/deepseek-chat-v3.1; deepseek/deepseek-r1; gemini-flash-thinking; gemini-pro-non; gemini-pro-thinking; moonshotai/kimi-k2-thinking; openai/gpt-4o-2024-11-20; openai/gpt-5; openai/gpt-oss-120b; qwen_qwen3-235b-a22b-2507; x-ai/grok-4-fast-thinking; x-ai_grok-4-fast,13
15,"18 years after 1998 , global warming still has not created the runaway warming we were told to expect .",ad populum,fallacy of extension,0.6294444392124812,filtered_out_high_disagreement,Standard_Jaccard_Distance > 0.5566,anthropic/claude-sonnet-4.5; deepseek/deepseek-r1; gemini-flash-non; gemini-pro-thinking; moonshotai/kimi-k2-thinking; openai/gpt-5; qwen/qwen3-235b-a22b-thinking-2507; qwen_qwen3-235b-a22b-2507; x-ai/grok-4-fast-thinking,9
