question_id,statement,ground_truth,predicted_label,models_supporting_prediction,supporting_model_count
7,"He now says :  Anyone who tries to predict more than five to 10 years is a bit of an idiot , because so many things can change unexpectedly. ","ad hominem, intentional",faulty generalization,gemini-pro-thinking,1
8," The Caitlin Expedition  supported by the Prince of Wales  in which Pen Haddow and his team had to abandon their trip to the North Pole because it was colder than they  d expected ,  he continued .",ad hominem,fallacy of relevance,gemini-pro-thinking,1
13,"He says `` contrary to what your political leader , professor , and newspaper tell you , global warming is dominated by natural factors .",ad populum,fallacy of extension,gemini-pro-non,1
14,Calculations suggest it would need 40 % to 50 % of the arable land of the planet to make it work on the scale we will need and that would not leave enough land to grow crops to feed the world or to provide homes for a viable population of wild animals and plants .,ad populum,faulty generalization,deepseek/deepseek-chat-v3.1,1
15,"18 years after 1998 , global warming still has not created the runaway warming we were told to expect .",ad populum,fallacy of extension,gemini-pro-non,1
17,The Paris climate treaty will cost around 2 per cent of global GDP and fix much less than a tenth of the problem .,ad populum,fallacy of extension,gemini-pro-thinking,1
19,"The figure traditionally cited that suggests 97 per cent of climate scientists agree that global warming is man-made was also found to be flawed . A survey which claimed to have questioned 10,257 academics , was found to have winnowed down the sample to just 77 . A poll of 1854 members of the American Meteorological Society found the number who believe climate change to be man-made to be 52 per cent .",ad populum,faulty generalization,anthropic/claude-sonnet-4.5; gemini-pro-thinking,2
22,"And since the biggest risk to humanity is poverty , if we allow policymakers to have their way , the resulting energy poverty will indeed cause the deaths of some of our children and grandchildren .",appeal to emotion,faulty generalization,qwen_qwen3-235b-a22b-2507,1
28,"Even if we meet the Paris goals of two degrees warming , cities like Karachi and Kolkata will become close to uninhabitable , annually encountering deadly heat waves like those that crippled them in 2015 .",appeal to emotion,faulty generalization,qwen/qwen3-235b-a22b-thinking-2507,1
30,"They live in a world where conditions are so extreme that fire seasons in the northern and southern hemispheres overlap , stretching resources at a time when they  re needed most .",appeal to emotion,faulty generalization,deepseek/deepseek-chat-v3.1; qwen_qwen3-235b-a22b-2507,2
