question_id,statement,mapped_human_label,models_matching_human_label,matching_model_count
2,"Unfortunately for the doom-mongers , we sceptics have just received some heavy fire-support from a neutral authority .",ad hominem,anthropic/claude-sonnet-4.5; deepseek/deepseek-chat-v3.1; deepseek/deepseek-r1; gemini-flash-non; gemini-pro-non; gemini-pro-thinking; openai/gpt-4o-2024-11-20; openai/gpt-5; openai/gpt-oss-120b; qwen_qwen3-235b-a22b-2507; x-ai/grok-4-fast-thinking,11
5,You can say this for bleeding-heart liberals : They certainly have a flair for the ironic .,ad hominem,anthropic/claude-sonnet-4.5; deepseek/deepseek-chat-v3.1; deepseek/deepseek-r1; gemini-flash-non; gemini-flash-thinking; gemini-pro-non; gemini-pro-thinking; moonshotai/kimi-k2-thinking; openai/gpt-4o-2024-11-20; openai/gpt-5; openai/gpt-oss-120b; qwen_qwen3-235b-a22b-2507; x-ai/grok-4-fast-thinking; x-ai_grok-4-fast,14
6,"Sounding more like an Old Testament doomsayer than a president , Obama warned in his Alaska speech that unless carbon fuels are restricted , “ we will condemn our children to a planet beyond their capacity to repair : Submerged countries .",ad hominem,anthropic/claude-sonnet-4.5; deepseek/deepseek-r1; gemini-flash-thinking; gemini-pro-non; gemini-pro-thinking; moonshotai/kimi-k2-thinking; openai/gpt-5; x-ai_grok-4-fast,8
7,"He now says : “ Anyone who tries to predict more than five to 10 years is a bit of an idiot , because so many things can change unexpectedly. ”",ad hominem,anthropic/claude-sonnet-4.5; deepseek/deepseek-chat-v3.1; deepseek/deepseek-r1; gemini-flash-non; gemini-flash-thinking; gemini-pro-non; gemini-pro-thinking; moonshotai/kimi-k2-thinking; openai/gpt-4o-2024-11-20; openai/gpt-5; openai/gpt-oss-120b; qwen/qwen3-235b-a22b-thinking-2507; qwen_qwen3-235b-a22b-2507; x-ai/grok-4-fast-thinking; x-ai_grok-4-fast,15
11,"A defiant generalist in an era of increasingly specialised study , and a mischievous provocateur , Lovelock is regarded by many as a scientific genius .",ad populum,anthropic/claude-sonnet-4.5; deepseek/deepseek-chat-v3.1; deepseek/deepseek-r1; gemini-flash-non; gemini-flash-thinking; gemini-pro-thinking; moonshotai/kimi-k2-thinking; openai/gpt-4o-2024-11-20; openai/gpt-5; openai/gpt-oss-120b; qwen/qwen3-235b-a22b-thinking-2507; qwen_qwen3-235b-a22b-2507; x-ai/grok-4-fast-thinking; x-ai_grok-4-fast,14
11,"A defiant generalist in an era of increasingly specialised study , and a mischievous provocateur , Lovelock is regarded by many as a scientific genius .",fallacy of credibility,anthropic/claude-sonnet-4.5; deepseek/deepseek-chat-v3.1; openai/gpt-4o-2024-11-20; qwen_qwen3-235b-a22b-2507,4
13,"He says `` contrary to what your political leader , professor , and newspaper tell you , global warming is dominated by natural factors .",ad populum,deepseek/deepseek-chat-v3.1; x-ai_grok-4-fast,2
19,"The figure traditionally cited that suggests 97 per cent of climate scientists agree that global warming is man-made was also found to be flawed . A survey which claimed to have questioned 10,257 academics , was found to have winnowed down the sample to just 77 . A poll of 1854 members of the American Meteorological Society found the number who believe climate change to be man-made to be 52 per cent .",ad populum,x-ai/grok-4-fast-thinking,1
21,"Another study revealed that , by 2100 , there will be 2 billion climate refugees – and several million of them will be migrating from Florida to places further inland .",appeal to emotion,gemini-flash-thinking; gemini-pro-non; gemini-pro-thinking; moonshotai/kimi-k2-thinking; openai/gpt-4o-2024-11-20; openai/gpt-oss-120b; x-ai/grok-4-fast-thinking,7
21,"Another study revealed that , by 2100 , there will be 2 billion climate refugees – and several million of them will be migrating from Florida to places further inland .",fallacy of credibility,anthropic/claude-sonnet-4.5,1
