question_id,statement,human_labels,augmented_label_set,added_label,models_supporting_added_label,supporting_model_count,human_labels_preserved,human_label_coverage,human_coverage_status,zero_human_label_coverage_flag,augmentation_status
5,You can say this for bleeding-heart liberals : They certainly have a flair for the ironic .,ad hominem,ad hominem; faulty generalization,faulty generalization,anthropic/claude-sonnet-4.5; deepseek/deepseek-chat-v3.1; gemini-flash-non; gemini-flash-thinking; gemini-pro-non; gemini-pro-thinking; moonshotai/kimi-k2-thinking; openai/gpt-5; openai/gpt-oss-120b,9,yes,1.0,full_human_label_coverage,no,accepted_augmented_label
6,"Sounding more like an Old Testament doomsayer than a president , Obama warned in his Alaska speech that unless carbon fuels are restricted , “ we will condemn our children to a planet beyond their capacity to repair : Submerged countries .",ad hominem,ad hominem; appeal to emotion; false dilemma,appeal to emotion,anthropic/claude-sonnet-4.5; deepseek/deepseek-chat-v3.1; deepseek/deepseek-r1; gemini-flash-non; gemini-flash-thinking; gemini-pro-non; gemini-pro-thinking; moonshotai/kimi-k2-thinking; openai/gpt-4o-2024-11-20; openai/gpt-5; openai/gpt-oss-120b; qwen/qwen3-235b-a22b-thinking-2507; qwen_qwen3-235b-a22b-2507; x-ai/grok-4-fast-thinking; x-ai_grok-4-fast,15,yes,1.0,full_human_label_coverage,no,accepted_augmented_label
6,"Sounding more like an Old Testament doomsayer than a president , Obama warned in his Alaska speech that unless carbon fuels are restricted , “ we will condemn our children to a planet beyond their capacity to repair : Submerged countries .",ad hominem,ad hominem; appeal to emotion; false dilemma,false dilemma,deepseek/deepseek-chat-v3.1; deepseek/deepseek-r1; gemini-flash-thinking; gemini-pro-non; gemini-pro-thinking; openai/gpt-5; openai/gpt-oss-120b; qwen/qwen3-235b-a22b-thinking-2507; x-ai/grok-4-fast-thinking,9,yes,1.0,full_human_label_coverage,no,accepted_augmented_label
7,"He now says : “ Anyone who tries to predict more than five to 10 years is a bit of an idiot , because so many things can change unexpectedly. ”",ad hominem; intentional,ad hominem; faulty generalization,faulty generalization,deepseek/deepseek-chat-v3.1; deepseek/deepseek-r1; gemini-flash-thinking; gemini-pro-non; moonshotai/kimi-k2-thinking; openai/gpt-4o-2024-11-20; openai/gpt-5; openai/gpt-oss-120b; qwen/qwen3-235b-a22b-thinking-2507; qwen_qwen3-235b-a22b-2507,10,no,0.5,partial_human_label_coverage,no,accepted_augmented_label
16,"Over the past decades , our culture has gone apocalyptic with zombie movies and Mad Max dystopias , perhaps the collective result of displaced climate anxiety , and yet when it comes to contemplating real-world warming dangers , we suffer from an incredible failure of imagination .",ad populum,false causality; faulty generalization,false causality,anthropic/claude-sonnet-4.5; deepseek/deepseek-chat-v3.1; deepseek/deepseek-r1; gemini-flash-thinking; gemini-pro-non; gemini-pro-thinking; moonshotai/kimi-k2-thinking; openai/gpt-4o-2024-11-20; openai/gpt-5; openai/gpt-oss-120b; qwen/qwen3-235b-a22b-thinking-2507; qwen_qwen3-235b-a22b-2507; x-ai/grok-4-fast-thinking; x-ai_grok-4-fast,14,no,0.0,no_human_label_coverage,yes,accepted_augmented_label
16,"Over the past decades , our culture has gone apocalyptic with zombie movies and Mad Max dystopias , perhaps the collective result of displaced climate anxiety , and yet when it comes to contemplating real-world warming dangers , we suffer from an incredible failure of imagination .",ad populum,false causality; faulty generalization,faulty generalization,anthropic/claude-sonnet-4.5; deepseek/deepseek-chat-v3.1; gemini-flash-non; gemini-flash-thinking; gemini-pro-non; gemini-pro-thinking; moonshotai/kimi-k2-thinking; openai/gpt-4o-2024-11-20; openai/gpt-5; openai/gpt-oss-120b; qwen/qwen3-235b-a22b-thinking-2507; qwen_qwen3-235b-a22b-2507; x-ai/grok-4-fast-thinking,13,no,0.0,no_human_label_coverage,yes,accepted_augmented_label
22,"And since the biggest risk to humanity is poverty , if we allow policymakers to have their way , the resulting energy poverty will indeed cause the deaths of some of our children and grandchildren .",appeal to emotion,appeal to emotion; false causality,false causality,anthropic/claude-sonnet-4.5; deepseek/deepseek-chat-v3.1; deepseek/deepseek-r1; gemini-flash-non; gemini-flash-thinking; gemini-pro-non; moonshotai/kimi-k2-thinking; openai/gpt-4o-2024-11-20; openai/gpt-5; openai/gpt-oss-120b; qwen/qwen3-235b-a22b-thinking-2507; qwen_qwen3-235b-a22b-2507; x-ai/grok-4-fast-thinking; x-ai_grok-4-fast,14,yes,1.0,full_human_label_coverage,no,accepted_augmented_label
23,” Britain ’ s most high-profile environmental group claimed “ Climate Change Kills Children . ”,appeal to emotion,appeal to emotion; false causality,false causality,deepseek/deepseek-chat-v3.1; gemini-flash-non; gemini-flash-thinking; gemini-pro-thinking; moonshotai/kimi-k2-thinking; openai/gpt-5; openai/gpt-oss-120b; qwen/qwen3-235b-a22b-thinking-2507; qwen_qwen3-235b-a22b-2507; x-ai/grok-4-fast-thinking; x-ai_grok-4-fast,11,yes,1.0,full_human_label_coverage,no,accepted_augmented_label
25,"The glaciers of Pine Island Bay are two of the largest and fastest-melting in Antarctica . ( A Rolling Stone feature earlier this year dubbed Thwaites “ The Doomsday Glacier. ” ) Together , they act as a plug holding back enough ice to pour 11 feet of sea-level rise into the world ’ s oceans — an amount that would submerge every coastal city on the planet .",appeal to emotion,appeal to emotion; faulty generalization,faulty generalization,anthropic/claude-sonnet-4.5; deepseek/deepseek-chat-v3.1; gemini-flash-non; gemini-pro-non; gemini-pro-thinking; openai/gpt-5; openai/gpt-oss-120b; qwen/qwen3-235b-a22b-thinking-2507; qwen_qwen3-235b-a22b-2507,9,yes,1.0,full_human_label_coverage,no,accepted_augmented_label
26,"That combination is deadly : thanks to sea-level rise due to climate change , flooding is going to get much worse .",appeal to emotion,appeal to emotion; false causality,false causality,deepseek/deepseek-chat-v3.1; deepseek/deepseek-r1; gemini-flash-non; gemini-flash-thinking; gemini-pro-non; gemini-pro-thinking; moonshotai/kimi-k2-thinking; openai/gpt-4o-2024-11-20; openai/gpt-5; x-ai/grok-4-fast-thinking; x-ai_grok-4-fast,11,yes,1.0,full_human_label_coverage,no,accepted_augmented_label
