question_id,statement,human_labels,alternative_label,lean4_status,models_supporting_alternative_label,supporting_model_count
2,"Unfortunately for the doom-mongers , we sceptics have just received some heavy fire-support from a neutral authority .",ad hominem,appeal to emotion,lean_pass,deepseek/deepseek-chat-v3.1; deepseek/deepseek-r1; gemini-flash-thinking; gemini-pro-non; gemini-pro-thinking; openai/gpt-4o-2024-11-20; openai/gpt-5; openai/gpt-oss-120b; qwen/qwen3-235b-a22b-thinking-2507; x-ai/grok-4-fast-thinking; x-ai_grok-4-fast,11
2,"Unfortunately for the doom-mongers , we sceptics have just received some heavy fire-support from a neutral authority .",ad hominem,fallacy of credibility,lean_pass,anthropic/claude-sonnet-4.5; deepseek/deepseek-chat-v3.1; gemini-flash-thinking; gemini-pro-thinking; qwen_qwen3-235b-a22b-2507; x-ai_grok-4-fast,6
2,"Unfortunately for the doom-mongers , we sceptics have just received some heavy fire-support from a neutral authority .",ad hominem,fallacy of extension,lean_pass,deepseek/deepseek-r1; qwen/qwen3-235b-a22b-thinking-2507; x-ai/grok-4-fast-thinking,3
2,"Unfortunately for the doom-mongers , we sceptics have just received some heavy fire-support from a neutral authority .",ad hominem,fallacy of relevance,lean_pass,gemini-flash-non; openai/gpt-5,2
2,"Unfortunately for the doom-mongers , we sceptics have just received some heavy fire-support from a neutral authority .",ad hominem,false dilemma,lean_pass,x-ai_grok-4-fast,1
3,"For good reason : In the U.S. , and for much of the world , the most dangerous environmental pollutants have been cleaned up . U.S. emissions of particulates , metals and varied gases—all of these : ozone , lead , carbon monoxide , oxides of nitrogen and sulfur—fell almost 70 % between 1970 and 2014 .",ad hominem,appeal to emotion,lean_pass,moonshotai/kimi-k2-thinking,1
3,"For good reason : In the U.S. , and for much of the world , the most dangerous environmental pollutants have been cleaned up . U.S. emissions of particulates , metals and varied gases—all of these : ozone , lead , carbon monoxide , oxides of nitrogen and sulfur—fell almost 70 % between 1970 and 2014 .",ad hominem,equivocation,lean_pass,gemini-pro-thinking; moonshotai/kimi-k2-thinking; openai/gpt-5; qwen/qwen3-235b-a22b-thinking-2507,4
3,"For good reason : In the U.S. , and for much of the world , the most dangerous environmental pollutants have been cleaned up . U.S. emissions of particulates , metals and varied gases—all of these : ozone , lead , carbon monoxide , oxides of nitrogen and sulfur—fell almost 70 % between 1970 and 2014 .",ad hominem,fallacy of relevance,lean_pass,gemini-pro-non,1
3,"For good reason : In the U.S. , and for much of the world , the most dangerous environmental pollutants have been cleaned up . U.S. emissions of particulates , metals and varied gases—all of these : ozone , lead , carbon monoxide , oxides of nitrogen and sulfur—fell almost 70 % between 1970 and 2014 .",ad hominem,false causality,lean_pass,deepseek/deepseek-chat-v3.1; deepseek/deepseek-r1; openai/gpt-4o-2024-11-20; qwen_qwen3-235b-a22b-2507; x-ai_grok-4-fast,5
3,"For good reason : In the U.S. , and for much of the world , the most dangerous environmental pollutants have been cleaned up . U.S. emissions of particulates , metals and varied gases—all of these : ozone , lead , carbon monoxide , oxides of nitrogen and sulfur—fell almost 70 % between 1970 and 2014 .",ad hominem,faulty generalization,lean_pass,anthropic/claude-sonnet-4.5; deepseek/deepseek-chat-v3.1; deepseek/deepseek-r1; gemini-flash-non; gemini-flash-thinking; gemini-pro-non; gemini-pro-thinking; moonshotai/kimi-k2-thinking; openai/gpt-4o-2024-11-20; openai/gpt-5; openai/gpt-oss-120b; qwen/qwen3-235b-a22b-thinking-2507; qwen_qwen3-235b-a22b-2507; x-ai/grok-4-fast-thinking; x-ai_grok-4-fast,15
