question_id,statement,ground_truth,predicted_label,models_supporting_prediction,supporting_model_count
6,"Sounding more like an Old Testament doomsayer than a president , Obama warned in his Alaska speech that unless carbon fuels are restricted ,  we will condemn our children to a planet beyond their capacity to repair : Submerged countries .",ad hominem,fallacy of credibility,x-ai/grok-4-fast-thinking,1
8," The Caitlin Expedition  supported by the Prince of Wales  in which Pen Haddow and his team had to abandon their trip to the North Pole because it was colder than they  d expected ,  he continued .",ad hominem,fallacy of relevance,gemini-flash-thinking,1
8," The Caitlin Expedition  supported by the Prince of Wales  in which Pen Haddow and his team had to abandon their trip to the North Pole because it was colder than they  d expected ,  he continued .",ad hominem,false dilemma,gemini-flash-thinking,1
8," The Caitlin Expedition  supported by the Prince of Wales  in which Pen Haddow and his team had to abandon their trip to the North Pole because it was colder than they  d expected ,  he continued .",ad hominem,faulty generalization,gemini-flash-thinking,1
11,"A defiant generalist in an era of increasingly specialised study , and a mischievous provocateur , Lovelock is regarded by many as a scientific genius .","ad populum, fallacy of credibility",ad populum,gemini-pro-non,1
12,"Nor is there evidence of an increase in floods globally . Since 1965 , more parts of the U.S. have seen a decrease in flooding than have seen an increase . And from 1940 to today , flood damage as a percentage of GDP has fallen to less than 0.05 per cent per year from about 0.2 per cent .",ad populum,fallacy of relevance,gemini-pro-thinking,1
13,"He says `` contrary to what your political leader , professor , and newspaper tell you , global warming is dominated by natural factors .",ad populum,fallacy of credibility,x-ai_grok-4-fast,1
14,Calculations suggest it would need 40 % to 50 % of the arable land of the planet to make it work on the scale we will need and that would not leave enough land to grow crops to feed the world or to provide homes for a viable population of wild animals and plants .,ad populum,false causality,openai/gpt-5,1
14,Calculations suggest it would need 40 % to 50 % of the arable land of the planet to make it work on the scale we will need and that would not leave enough land to grow crops to feed the world or to provide homes for a viable population of wild animals and plants .,ad populum,false dilemma,openai/gpt-5,1
15,"18 years after 1998 , global warming still has not created the runaway warming we were told to expect .",ad populum,fallacy of extension,gemini-flash-thinking,1
16,"Over the past decades , our culture has gone apocalyptic with zombie movies and Mad Max dystopias , perhaps the collective result of displaced climate anxiety , and yet when it comes to contemplating real-world warming dangers , we suffer from an incredible failure of imagination .",ad populum,false causality,gemini-flash-non,1
19,"The figure traditionally cited that suggests 97 per cent of climate scientists agree that global warming is man-made was also found to be flawed . A survey which claimed to have questioned 10,257 academics , was found to have winnowed down the sample to just 77 . A poll of 1854 members of the American Meteorological Society found the number who believe climate change to be man-made to be 52 per cent .",ad populum,cherry picking,x-ai_grok-4-fast,1
21,"Another study revealed that , by 2100 , there will be 2 billion climate refugees  and several million of them will be migrating from Florida to places further inland .","appeal to emotion, fallacy of credibility",false causality,anthropic/claude-sonnet-4.5; x-ai_grok-4-fast,2
22,"And since the biggest risk to humanity is poverty , if we allow policymakers to have their way , the resulting energy poverty will indeed cause the deaths of some of our children and grandchildren .",appeal to emotion,false causality,gemini-pro-thinking,1
26,"That combination is deadly : thanks to sea-level rise due to climate change , flooding is going to get much worse .",appeal to emotion,false causality,anthropic/claude-sonnet-4.5; qwen_qwen3-235b-a22b-2507,2
26,"That combination is deadly : thanks to sea-level rise due to climate change , flooding is going to get much worse .",appeal to emotion,faulty generalization,qwen/qwen3-235b-a22b-thinking-2507,1
28,"Even if we meet the Paris goals of two degrees warming , cities like Karachi and Kolkata will become close to uninhabitable , annually encountering deadly heat waves like those that crippled them in 2015 .",appeal to emotion,false causality,qwen/qwen3-235b-a22b-thinking-2507,1
29,"At four degrees , the deadly European heat wave of 2003 , which killed as many as 2,000 people a day , will be a normal summer .","appeal to emotion, faulty generalization",false causality,x-ai/grok-4-fast-thinking,1
31,"It should go without saying that if scientists can not yet make accurate predictions about future climate change , then their understanding of climate science remains highly incomplete .",circular reasoning,faulty generalization,anthropic/claude-sonnet-4.5,1
33,"Peatland fires in Indonesia in 1997 , for instance , added to the global CO2 release by up to 40 percent , and more burning only means more warming only means more burning .",circular reasoning,false causality,gemini-flash-thinking,1
34,"Instead of negotiating over climate change policies and trying to make them more market-oriented , some political conservatives have taken the approach of blocking them by trying to undermine the science .",circular reasoning,ad hominem,x-ai_grok-4-fast,1
34,"Instead of negotiating over climate change policies and trying to make them more market-oriented , some political conservatives have taken the approach of blocking them by trying to undermine the science .",circular reasoning,fallacy of extension,gemini-flash-thinking,1
42,"In addition , it said , the United States along with Bangladesh , China , Egypt , India , Indonesia , Japan , the Philippines and Vietnam are home to 50 million people who will be exposed to the effects of increased coastal flooding by 2040 , if 2.7 degrees of warming occur .",equivocation,appeal to emotion,gemini-flash-thinking,1
44,"By  global warming  these papers don  t , of course , mean the mild warming of around 0.8 degrees Celsius that the planet has experienced since the middle of the 19th century as the world crawled out of the Little Ice Age .","equivocation, intentional",fallacy of extension,gemini-pro-non,1
45,"That is , all these different experts from around the world  China , Russia , Canada , the U.S. , Italy , etc .  have been looking closely at different aspects of the global warming puzzle in various regions and on different timescales and come to the conclusion in irreproachable , peer-reviewed scientific ways that there is no evidence to support the global warming scare story .","equivocation, intentional",ad populum,gemini-flash-thinking,1
46,"No one and nothing would experience it directly since we all live in regions , not the globe .",equivocation,fallacy of logic,gemini-flash-non,1
50,"We hope these examples , right out of the weather record books , compiled by C.C . Burt in his book Extreme Weather Changes , will help you to understand the scams alarmists are trying to pull .","appeal to emotion, fallacy of credibility",ad hominem,gemini-pro-non; x-ai/grok-4-fast-thinking,2
51,"One reason that the 2007 predictions of future polar bear survival were so far off base is that the model developed by American biologist Steven Amstrup ( now at Polar Bears International , an NGO ) assumed any polar bear population decline would be caused by less summer ice , despite the Beaufort Sea experience .",fallacy of credibility,false causality,qwen_qwen3-235b-a22b-2507,1
56,"Research shows that this process is overpowering the erosion from sea-level rise , leading to net land-area gain .",fallacy of credibility,fallacy of relevance,gemini-pro-thinking,1
56,"Research shows that this process is overpowering the erosion from sea-level rise , leading to net land-area gain .",fallacy of credibility,false causality,deepseek/deepseek-chat-v3.1,1
58,"Access to cleaner water has increased ; mortality from  Extreme Weather Events  has declined by 99 per cent since the 1920s ; fewer people are dying from heat ; death rates from climate-sensitive diseases like malaria and diarrhoea have decreased ( since 1900 malaria death rates have declined 96 per cent ) ; hunger rates have declined ; poverty has declined ( GDP per capita has quadrupled since 1950 even as CO2 levels have sextupled ) ; life expectancy has more than doubled since the start of industrialisation ; health adjusted life expectancy has increased ; global inequality has decreased in terms of incomes , life expectancies and access to modern-day amenities ; the earth is green and more productive ; habitat lost to agriculture has peaked due to fossil fuel dependent technologies .","appeal to emotion, fallacy of extension, intentional",false causality,gemini-pro-non,1
60,"The record comes two days before Donald Trump , who has tweeted that global warming is a  hoax ,  assumes the presidency and , with it , control over the two science agencies that announced these records .",fallacy of extension,fallacy of relevance,gemini-pro-non,1
60,"The record comes two days before Donald Trump , who has tweeted that global warming is a  hoax ,  assumes the presidency and , with it , control over the two science agencies that announced these records .",fallacy of extension,false causality,qwen/qwen3-235b-a22b-thinking-2507; qwen_qwen3-235b-a22b-2507,2
63,He should know that climate always changes and that the planet would be in serious trouble if it did not .,"fallacy of extension, faulty generalization",equivocation,gemini-flash-thinking,1
